StoreName,Locationnumber,State,BUCode,last_30d_recharge,active_days_30d,prev_30d_recharge,last_7d_recharge,days_since_last_recharge,churn_30d
3B2 Mohali  Punjab,104,Punjab,115,-423.8,1,0.0,-423.8,0,0
AB Shetty  Pandeshwar  Karnataka,58,Karnataka,153,-805.22,1,0.0,-805.22,0,0
AECS Layout Mini Store,21231,Karnataka,153,0.0,1,0.0,0.0,0,1
AIR CELLULAR,22854,Gujrat,171,-42.38,1,0.0,-42.38,0,0
AIRTEL MINI  STORE BIJWASAN,21111,Delhi,111,-127.14000000000001,1,0.0,-127.14000000000001,0,0
AIRTEL NGS KAMLA NAGAR,20952,UP,11109,-127.14000000000001,1,0.0,-127.14000000000001,0,0
AIRTEL STORE NEW MARKET,22853,Madhya Pradesh,172,-254.28000000000003,1,0.0,-254.28000000000003,0,0
AMALAPURAM OR,20917,AndraPRadesh,151,-211.9,1,0.0,-211.9,0,0
ANNA NAGAR MADURAI NGS,20818,Tamil Nadu,155,-550.94,1,0.0,-550.94,0,0
AOR  Amapara  Raipur,907,Chattisgarh,17222,-550.94,1,0.0,-550.94,0,0
AOR  Arera colony,22807,Madhya Pradesh,172,-211.9,1,0.0,-211.9,0,0
AOR Adchini  Delhi,948,Delhi,111,-550.94,1,0.0,-550.94,0,0
AOR Akurdi Pune,895,Maharashtra,17327,-339.04,1,0.0,-339.04,0,0
AOR Aligarh,808,UP,11109,-932.36,1,0.0,-932.36,0,0
AOR Alipore  Kolkata,675,West Bengal,135,-84.76,1,0.0,-84.76,0,0
AOR Aluva  Kerala,836,Kerala,154,-805.22,1,0.0,-805.22,0,0
AOR Ambattur OT  Chennai,744,Tamil Nadu,155,-889.98,1,0.0,-889.98,0,0
AOR Amravati,839,Maharashtra,17327,-296.66,1,0.0,-296.66,0,0
AOR Anand BRD  Gujarat,615,Gujrat,171,-593.32,1,0.0,-593.32,0,0
AOR Anantnag,22865,JK,114,-84.76,1,0.0,-84.76,0,0
AOR Andheri E - Sakivihar  Mumbai,747,Maharashtra,17327,-2796.7000000000003,1,0.0,-2796.7000000000003,0,0
AOR Andheri E Station,666,Maharashtra,17327,-678.08,1,0.0,-678.08,0,0
AOR Arrah,20943,Bihar,132,-720.46,1,0.0,-720.46,0,0
AOR Ashiyana  Lucknow,841,UP,11109,-720.46,1,0.0,-720.46,0,0
AOR Ashok Vihar  Delhi,913,Delhi,111,-805.22,1,0.0,-805.22,0,0
AOR Ashoknagar  Kolkata,845,West Bengal,135,-84.76,1,0.0,-84.76,0,0
AOR Aundh  Pune,842,Maharashtra,17327,-127.14000000000001,1,0.0,-127.14000000000001,0,0
AOR BADDI,21006,HP,11202,-169.52,1,0.0,-169.52,0,0
AOR Badlapur,814,Maharashtra,17327,-254.28000000000003,1,0.0,-254.28000000000003,0,0
AOR Baghat,22864,JK,114,-42.38,1,0.0,-42.38,0,0
AOR Bahadurgarh Store,20935,Haryana,11106,-550.94,1,0.0,-550.94,0,0
AOR Bajirao Road  Pune,801,Maharashtra,17327,-254.28000000000003,1,0.0,-254.28000000000003,0,0
AOR Barmer Store  Rajasthan,748,Rajasthan,176,-678.08,1,0.0,-678.08,0,0
AOR Barrack Pore  Kolkata,724,West Bengal,135,-296.66,1,0.0,-296.66,0,0
AOR Berhampur  Odisha,890,Odisha,134,-847.6,1,0.0,-847.6,0,0
